Country,year,GDP
United States,1960,543300000000.0
United States,1961,563300000000.0
United States,1962,605100000000.0
United States,1963,638600000000.0
United States,1964,685800000000.0
United States,1965,743700000000.0
United States,1966,815000000000.0
United States,1967,861700000000.0
United States,1968,942500000000.0
United States,1969,1019900000000.0
United States,1970,1075880000000.0
United States,1971,1167770000000.0
United States,1972,1282450000000.0
United States,1973,1428550000000.0
United States,1974,1548830000000.0
United States,1975,1688920000000.0
United States,1976,1877590000000.0
United States,1977,2085950000000.0
United States,1978,2356570000000.0
United States,1979,2632140000000.0
United States,1980,2862510000000.0
United States,1981,3210960000000.0
United States,1982,3344990000000.0
United States,1983,3638140000000.0
United States,1984,4040690000000.0
United States,1985,4346730000000.0
United States,1986,4590160000000.0
United States,1987,4870220000000.0
United States,1988,5252630000000.0
United States,1989,5657690000000.0
United States,1990,5979590000000.0
United States,1991,6174040000000.0
United States,1992,6539300000000.0
United States,1993,6878720000000.0
United States,1994,7308760000000.0
United States,1995,7664060000000.0
United States,1996,8100200000000.0
United States,1997,8608520000000.0
United States,1998,9089170000000.0
United States,1999,9660620000000.0
United States,2000,10284800000000.0
United States,2001,10621800000000.0
United States,2002,10977500000000.0
United States,2003,11510700000000.0
United States,2004,12274900000000.0
United States,2005,13093700000000.0
United States,2006,13855900000000.0
United States,2007,14477600000000.0
United States,2008,14718600000000.0
United States,2009,14418700000000.0
United States,2010,14964400000000.0
United States,2011,15517900000000.0
United States,2012,16155300000000.0
United States,2013,16691500000000.0
United States,2014,17427600000000.0
United States,2015,18120700000000.0
United States,2016,18624500000000.0
United States,2017,19390600000000.0
